day,time(h),1#,2#,3#,4#
1,0,,,,
1,0.05,10271.4,11850.2,10299.2,10575.1
1,0.55,4873.8,4328.5,9765.2,5365.8
1,1.05,5411.8,8327.9,7324.3,7218.7
1,1.13,3542.6,7402.1,5795.3,2424.3
1,1.3,2428.4,5066.3,3700.1,1584.9
1,1.55,1847,4328.5,2694.5,823
1,2.05,845.1,1345.8,1944.5,1541
1,3.05,659.9,2362.8,1372.4,564.7
1,5.05,279.3,718.1,97.2,298.5
1,7.05,12.6,378.3,32,19
1,9.05,,20.3,,
1,13.05,,,19.8,
1,25.05,,21.8,,
2,25.1,15093.4,12251.8,16717.6,13787
2,26.1,9660.4,7710.2,7105,7356.3
3,49,5.9,,,
3,49.05,15135.8,10909.8,13092.7,11540.2
3,50.05,8845.4,5356.4,6252,5594.4
4,73,35.3,7.7,0.3,
4,73.05,13683.5,9380.8,15895.6,8899.3
4,74.05,9990.1,5890.7,7976.3,5472.6
5,97,49.9,3.7,0.3,
5,97.05,11831,7217.5,15049.8,10026.5
5,98.05,8340.1,5191.3,8634.3,5677.1
6,121,2.4,0.5,,
6,121.05,13139.3,7392.1,13886.3,6626.9
6,122.05,8698,6412.1,8197.9,6036.9
7,145,3.6,3.1,4.2,
7,145.05,11033.6,10964.5,11337.8,9856.1
7,145.55,6148.7,7433.2,6833.8,6532.3
7,146.05,6641.8,8780.7,9601.7,6726.8
7,146.13,6159.5,5815.4,5031.7,4869.5
7,146.3,4514.7,4527.1,6599.7,2468.8
7,146.55,1678,3264.9,2397.1,2031.2
7,147.05,1431.3,2863.3,2526.9,3197.3
7,148.05,1184,564.7,1504.5,508
7,150.05,359.4,552.2,169,128.8
7,152.05,60.4,128.8,83.5,123
7,154.05,4.6,26.8,40,12.4
7,158.05,3.1,8.1,7.8,5.1
7,170.05,16.9,,64.3,
