group,time,1#,2#,3#,4#
TT(s),control,11.8,11.6,13.1,11.2
TT(s),control(7d),13.8,10.7,12.6,11.2
TT(s),iv(0h),15.8,15.3,16,300
TT(s),iv(1h),14.3,12.3,12.5,19.1
TT(s),iv(2h),14.5,12.6,14.1,10.1
TT(s),iv(4h),13.8,9.8,16.7,12.8
APTT(s),control,24.5,24.7,25.8,25
APTT(s),control(7d),28.6,24,27,25.4
APTT(s),iv(0h),33.9,31.5,30.8,148.5
APTT(s),iv(1h),28.8,27.1,27.6,78.9
APTT(s),iv(2h),28.5,26.3,27.8,21.8
APTT(s),iv(4h),28,20.3,28.4,29.3
PT(s),control,11.8,11.8,12,11.5
PT(s),control(7d),14.2,11.4,11.4,12.3
PT(s),iv(0h),15.9,13.5,13.5,52.9
PT(s),iv(1h),14.3,11.7,10.4,39.1
PT(s),iv(2h),14.1,11.7,11.1,12.8
PT(s),iv(4h),14,10.5,11.8,12
FIB(g/L),control,2.74,3.12,3.04,3.15
FIB(g/L),control(7d),2.73,2.69,3.02,3.36
FIB(g/L),iv(0h),2.65,2.64,3.27,3.73
FIB(g/L),iv(1h),2.93,3.06,3.45,3.74
FIB(g/L),iv(2h),2.59,2.92,3.09,3.39
FIB(g/L),iv(4h),2.68,3.69,2.37,2.78
