time(h),9#,10#,11#,12#,1#,2#,3#,4#,5#,6#,7#,8#
0.00 ,,,,,,,,,,,,
0.05 ,4146.20 ,7419.20 ,5531.60 ,5414.80 ,10271.40 ,11850.20 ,10299.20 ,10575.10 ,37825.70 ,24980.50 ,34109.00 ,30527.40 
0.55 ,1451.60 ,3470.40 ,1377.90 ,2112.80 ,4873.80 ,4328.50 ,9765.20 ,5365.80 ,16044.70 ,13068.20 ,18776.20 ,16392.20 
1.05 ,1908.00 ,3392.50 ,1753.40 ,2158.20 ,5411.80 ,8327.90 ,7324.30 ,7218.70 ,16834.50 ,13323.20 ,16031.80 ,16548.30 
1.13 ,880.80 ,2521.30 ,1472.10 ,1534.90 ,3542.60 ,7402.10 ,5795.30 ,2424.30 ,13936.20 ,9260.90 ,11430.00 ,12142.70 
1.30 ,543.50 ,1324.30 ,987.90 ,823.40 ,2428.40 ,5066.30 ,3700.10 ,1584.90 ,9361.60 ,6536.10 ,8646.80 ,8380.90 
1.55 ,482.90 ,937.00 ,637.30 ,509.70 ,1847.00 ,4328.50 ,2694.50 ,823.00 ,4945.70 ,3362.20 ,4684.80 ,6755.60 
2.05 ,431.60 ,596.40 ,563.30 ,453.30 ,845.10 ,1345.80 ,1944.50 ,1541.00 ,6394.80 ,2523.90 ,4402.40 ,5367.90 
3.05 ,265.30 ,275.30 ,137.40 ,364.60 ,659.90 ,2362.80 ,1372.40 ,564.70 ,2213.70 ,1903.20 ,1738.80 ,1984.10 
5.05 ,90.50 ,124.30 ,49.20 ,96.00 ,279.30 ,718.10 ,97.20 ,298.50 ,655.50 ,275.60 ,186.60 ,393.30 
7.05 ,61.60 ,145.00 ,29.90 ,65.80 ,12.60 ,378.30 ,32.00 ,19.00 ,487.10 ,70.00 ,33.50 ,137.70 
9.05 ,47.00 ,102.10 ,26.30 ,14.80 ,,20.30 ,5.00 ,,211.50 ,35.10 ,,70.90 
13.05 ,27.40 ,3.60 ,14.00 ,10.00 ,,2.40 ,19.80 ,,83.00 ,19.20 ,,44.90 
25.05 ,14.00 ,84.20 ,,,,21.80 ,,,33.30 ,,,19.10 
