group,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
APTT(S),control,control(7d),4,4,5,0.486,1,ns
APTT(S),control,iv(0h),4,4,0,0.029,0.429,ns
APTT(S),control,iv(1h),4,4,0,0.029,0.429,ns
APTT(S),control,iv(2h),4,4,4,0.343,1,ns
APTT(S),control,iv(4h),4,4,4,0.343,1,ns
APTT(S),control(7d),iv(0h),4,4,0,0.029,0.429,ns
APTT(S),control(7d),iv(1h),4,4,2,0.114,1,ns
APTT(S),control(7d),iv(2h),4,4,8,1,1,ns
APTT(S),control(7d),iv(4h),4,4,6,0.686,1,ns
APTT(S),iv(0h),iv(1h),4,4,13,0.2,1,ns
APTT(S),iv(0h),iv(2h),4,4,16,0.029,0.429,ns
APTT(S),iv(0h),iv(4h),4,4,16,0.029,0.429,ns
APTT(S),iv(1h),iv(2h),4,4,12,0.343,1,ns
APTT(S),iv(1h),iv(4h),4,4,9,0.886,1,ns
APTT(S),iv(2h),iv(4h),4,4,6,0.686,1,ns
FIBg/L,control,control(7d),4,4,11,0.486,1,ns
FIBg/L,control,iv(0h),4,4,8,1,1,ns
FIBg/L,control,iv(1h),4,4,5,0.486,1,ns
FIBg/L,control,iv(2h),4,4,9,0.886,1,ns
FIBg/L,control,iv(4h),4,4,11,0.486,1,ns
FIBg/L,control(7d),iv(0h),4,4,9,0.886,1,ns
FIBg/L,control(7d),iv(1h),4,4,3,0.2,1,ns
FIBg/L,control(7d),iv(2h),4,4,7,0.886,1,ns
FIBg/L,control(7d),iv(4h),4,4,10,0.686,1,ns
FIBg/L,iv(0h),iv(1h),4,4,5,0.486,1,ns
FIBg/L,iv(0h),iv(2h),4,4,9,0.886,1,ns
FIBg/L,iv(0h),iv(4h),4,4,9,0.886,1,ns
FIBg/L,iv(1h),iv(2h),4,4,12,0.343,1,ns
FIBg/L,iv(1h),iv(4h),4,4,13,0.2,1,ns
FIBg/L,iv(2h),iv(4h),4,4,10,0.686,1,ns
PT(S),control,control(7d),4,4,8,1,1,ns
PT(S),control,iv(0h),4,4,0,0.028,0.426,ns
PT(S),control,iv(1h),4,4,7,0.885,1,ns
PT(S),control,iv(2h),4,4,7,0.885,1,ns
PT(S),control,iv(4h),4,4,6.5,0.766,1,ns
PT(S),control(7d),iv(0h),4,4,2,0.108,1,ns
PT(S),control(7d),iv(1h),4,4,6,0.663,1,ns
PT(S),control(7d),iv(2h),4,4,8,1,1,ns
PT(S),control(7d),iv(4h),4,4,9,0.885,1,ns
PT(S),iv(0h),iv(1h),4,4,11,0.468,1,ns
PT(S),iv(0h),iv(2h),4,4,14,0.11,1,ns
PT(S),iv(0h),iv(4h),4,4,14,0.11,1,ns
PT(S),iv(1h),iv(2h),4,4,9.5,0.772,1,ns
PT(S),iv(1h),iv(4h),4,4,9,0.886,1,ns
PT(S),iv(2h),iv(4h),4,4,9,0.886,1,ns
TT(S),control,control(7d),4,4,8.5,1,1,ns
TT(S),control,iv(0h),4,4,0,0.029,0.429,ns
TT(S),control,iv(1h),4,4,2,0.114,1,ns
TT(S),control,iv(2h),4,4,5,0.486,1,ns
TT(S),control,iv(4h),4,4,5,0.486,1,ns
TT(S),control(7d),iv(0h),4,4,0,0.029,0.429,ns
TT(S),control(7d),iv(1h),4,4,4,0.343,1,ns
TT(S),control(7d),iv(2h),4,4,5.5,0.561,1,ns
TT(S),control(7d),iv(4h),4,4,5.5,0.561,1,ns
TT(S),iv(0h),iv(1h),4,4,13,0.2,1,ns
TT(S),iv(0h),iv(2h),4,4,16,0.029,0.429,ns
TT(S),iv(0h),iv(4h),4,4,13,0.2,1,ns
TT(S),iv(1h),iv(2h),4,4,9,0.886,1,ns
TT(S),iv(1h),iv(4h),4,4,9,0.886,1,ns
TT(S),iv(2h),iv(4h),4,4,8,1,1,ns
